match_id,tournament,year,surface,stage_code,same_country,same_language,ling_prox,ling_prox_binary,ling_prox_psw_tree,ling_prox_psw_cognet,rank_mean,opp_rank_mean,rank_gap,single_top100,exp_mean,exp_mean_sq,age_mean,win,pre_olympic,olympic_period,won_tb,tb_set,tb_type
2,Australian Open,2018,Hard,2,1,1,1.0,1,1.0,1.0,87.5,55.5,13.0,0,5.0,25.0,23.5,0,0,0,1,1,7pt
2,Australian Open,2018,Hard,2,0,0,0.5,0,0.41304898,0.37004793,55.5,87.5,83.0,0,14.5,210.25,31.5,1,0,0,0,1,7pt
3,Australian Open,2018,Hard,2,0,0,0.25,0,0.21113217,0.041329872,472.5,35.0,749.0,0,11.0,121.0,30.0,0,0,0,0,1,7pt
3,Australian Open,2018,Hard,2,0,1,0.0,1,0.23402292,0.18278809,35.0,472.5,26.0,0,14.0,196.0,33.0,1,0,0,1,1,7pt
7,Australian Open,2018,Hard,2,0,1,0.0,1,0.17925,0.18077663,20.0,79.5,10.0,0,12.5,156.25,33.5,0,0,0,0,1,7pt
7,Australian Open,2018,Hard,2,0,0,0.362500011920929,1,0.32067871,0.46761107,79.5,20.0,5.0,0,16.0,256.0,37.5,1,0,0,1,1,7pt
7,Australian Open,2018,Hard,2,0,1,0.0,1,0.17925,0.18077663,20.0,79.5,10.0,0,12.5,156.25,33.5,0,0,0,0,2,7pt
7,Australian Open,2018,Hard,2,0,0,0.362500011920929,1,0.32067871,0.46761107,79.5,20.0,5.0,0,16.0,256.0,37.5,1,0,0,1,2,7pt
8,Australian Open,2018,Hard,2,1,1,1.0,1,1.0,1.0,198.0,8.5,8.0,0,12.0,144.0,30.0,0,0,0,0,1,7pt
8,Australian Open,2018,Hard,2,1,1,1.0,1,1.0,1.0,8.5,198.0,5.0,0,13.0,169.0,31.5,1,0,0,1,1,7pt
9,Australian Open,2018,Hard,2,1,1,1.0,1,1.0,1.0,493.5,58.5,647.0,0,9.5,90.25,27.0,0,0,0,0,3,7pt
9,Australian Open,2018,Hard,2,0,0,0.25,0,0.14313638,0.16881076,58.5,493.5,1.0,0,11.0,121.0,28.5,1,0,0,1,3,7pt
12,Australian Open,2018,Hard,2,0,1,0.7075000405311584,1,0.52563611,0.60401666,143.5,22.5,251.0,1,11.0,121.0,27.0,0,0,0,0,2,7pt
12,Australian Open,2018,Hard,2,0,0,0.0,0,0.1597016999999999,0.12863554,22.5,143.5,7.0,0,15.0,225.0,38.0,1,0,0,1,2,7pt
13,Australian Open,2018,Hard,2,0,1,0.8875000476837158,1,0.62949178,0.69089741,85.5,181.0,3.0,0,12.0,144.0,36.0,0,0,0,0,1,7pt
